id,instance(occurrence),title,date,starttime,endtime,description,period (frequency),created on,created by,members,event_startdate,event_enddate
3,33,Morning Meeting,08/24/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,34,Morning Meeting,08/25/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,35,Morning Meeting,08/26/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,36,Morning Meeting,08/27/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,37,Morning Meeting,08/28/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
1,3,Tech Check,08/29/2017,800,900,discussing progress of our digital personal,BIWEEKLY,07/15/2017,42,"[{id:42, name:Matt, status:”Accepted”}, {id:1, name:Jeff, status:”NotAccepted”}]",08/01/2017,00/00/0000
3,38,Morning Meeting,08/29/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
5,5,Storeday,08/30/2017,800,1600,I’m working at the store this day. ,WEEKLY,08/01/2017,42,"[{id:id, name:name, status:status}]",08/03/2017,00/00/0000
3,39,Morning Meeting,08/30/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,40,Morning Meeting,08/31/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
